2022/8/14,27.7,27.9,27.6,25.9
2022/8/15,28.3,28.9,28.5,25.3
2022/8/16,29.8,30.9,30.2,26.2
2022/8/17,25.9,26.8,26.9,23.3
2022/8/18,24.5,25.3,24.6,22.4
2022/8/19,26.3,26.9,26.4,24.4
2022/8/20,24.8,25.4,25.1,22.4
2022/8/21,26.0,26.6,26.3,24.4
2022/8/22,26.4,27.2,26.3,24.4
2022/8/23,27.4,28.5,27.9,24.9
2022/8/24,27.1,28.0,27.4,23.7
2022/8/25,25.1,26.2,25.4,22.3
2022/8/26,25.7,27.2,25.9,23.7
2022/8/27,27.0,29.0,27.7,24.6
2022/8/28,22.3,23.3,22.6,19.8
2022/8/29,22.4,23.4,22.7,19.6
2022/8/30,21.7,22.5,21.8,19.9
2022/8/31,25.1,25.5,25.3,23.0
2022/9/1,26.5,26.4,26.2,24.8
2022/9/2,23.5,23.9,23.0,22.9
2022/9/3,23.7,24.5,23.6,21.8
2022/9/4,24.7,25.9,24.8,23.2
2022/9/5,24.8,26.1,25.2,22.6
2022/9/6,26.9,28.0,27.1,24.2
2022/9/7,25.1,26.5,25.7,23.6
2022/9/8,22.5,22.8,22.9,20.8
2022/9/9,24.5,25.3,24.7,22.7
2022/9/10,25.1,25.4,24.9,22.8
2022/9/11,23.9,24.4,24.2,21.1
2022/9/12,24.8,25.8,25.3,22.3
2022/9/13,25.8,26.5,25.8,23.2
2022/9/14,26.0,27.2,26.0,24.1
